master_nlc,station_name,latitude,longitude
750,Abbey Road,51.53253900,0.00360495
5131,Abbey Wood,51.49107800,0.12045845
1404,Acton Central,51.50871200,-0.26281226
3000,Acton Main Line,51.51697100,-0.26794616
500,Acton Town,51.50270600,-0.27997061
9441,Addington Village,51.35626900,-0.03287923
9440,Addiscombe,51.37993500,-0.07326544
5132,Albany Park,51.43538400,0.12596416
502,Aldgate,51.51424500,-0.07571749
503,Aldgate East,51.51562200,-0.07084555
6025,Alexandra Palace,51.59789000,-0.12043871
850,All Saints,51.51056400,-0.01301018
505,Alperton,51.54080400,-0.30009325
506,Amersham,51.67408500,-0.60736838
9442,Ampere Way,51.38236300,-0.12369167
5397,Anerley,51.41258700,-0.06557992
507,Angel,51.53194200,-0.10609982
508,Archway,51.56543400,-0.13499401
9443,Arena,51.39160300,-0.05825767
509,Arnos Grove,51.61640300,-0.13328087
510,Arsenal,51.55838400,-0.10748286
9444,Avenue Road,51.40679900,-0.04951878
511,Baker Street,51.52258700,-0.15673869
512,Balham LU,51.44335600,-0.15286522
5399,Balham NR,51.44283000,-0.15144746
513,Bank and Monument,51.51338200,-0.08895541
5348,Banstead,51.32949000,-0.21430169
501,Barbican,51.52015000,-0.09869005
514,Barking,51.54026700,0.07932261
1335,Barking Riverside,51.51973000,0.11607000
515,Barkingside,51.58582100,0.08861964
5089,Barnehurst,51.46502000,0.15964919
5551,Barnes,51.46678200,-0.24118250
5580,Barnes Bridge,51.47201600,-0.25262988
516,Barons Court,51.49026800,-0.21365907
5420,Battersea Park,51.47803000,-0.14823892
832,Battersea Power Station,51.47950000,0.14200000
6006,Bayford,51.75790600,-0.09573240
517,Bayswater,51.51228000,-0.18838485
3047,Beaconsfield,51.61100000,-0.64400000
5076,Beckenham Hill,51.42427900,-0.01566211
5046,Beckenham Junction,51.41081200,-0.02655573
9445,Beckenham Junction Trams,51.41081200,-0.02655573
9446,Beckenham Road,51.40963400,-0.04315741
895,Beckton,51.51437100,0.06136648
891,Beckton Park,51.50871800,0.05500105
518,Becontree,51.54031200,0.12652477
9449,Beddington Lane,51.38945800,-0.14284825
9450,Belgrave Walk,51.40082100,-0.17817137
5062,Bellingham,51.43299300,-0.01937044
5350,Belmont,51.34389300,-0.19878020
519,Belsize Park,51.55030900,-0.16461880
5092,Belvedere,51.49211400,0.15244443
787,Bermondsey,51.49770000,-0.06434113
5581,Berrylands,51.39901000,-0.28091616
6961,Bethnal Green LO,51.52388900,-0.05959800
520,Bethnal Green LU,51.52744000,-0.05464627
5093,Bexley,51.44023500,0.14794647
5094,Bexleyheath,51.46344300,0.13380428
5063,Bickley,51.40006400,0.04433311
5401,Birkbeck,51.40351300,-0.05634419
9454,Birkbeck Trams,51.40374700,-0.05580231
521,Blackfriars LU,51.51158100,-0.10377383
5112,Blackfriars NR,51.51007900,-0.10315891
5095,Blackheath,51.46580300,0.00891543
9459,Blackhorse Lane,51.38499300,-0.07022176
522,Blackhorse Road,51.58671900,-0.04164943
882,Blackwall,51.50793900,-0.00718726
524,Bond Street,51.51430000,-0.14900232
525,Borough,51.50108100,-0.09341792
526,Boston Manor,51.49542200,-0.32527838
527,Bounds Green,51.60737600,-0.12489941
3018,Bourne End,51.57691400,-0.71079800
851,Bow Church,51.52779300,-0.02092468
528,Bow Road,51.52685100,-0.02478592
6027,Bowes Park,51.60718900,-0.12048793
529,Brent Cross,51.57681500,-0.21397678
1516,Brent Cross West,51.56870000,-0.22690000
5552,Brentford,51.48761700,-0.30961954
6872,Brentwood,51.61381300,0.29946636
6810,Brimsdown,51.65557300,-0.03083227
778,Brixton LU,51.46268500,-0.11472696
5081,Brixton NR,51.46287900,-0.11333695
5404,Brockley,51.46462000,-0.03755223
5096,Bromley North,51.40842400,0.01704009
5064,Bromley South,51.40007000,0.01754950
530,Bromley-by-Bow,51.52462600,-0.01232599
1437,Brondesbury,51.54505200,-0.20264484
1438,Brondesbury Park,51.54047700,-0.21042471
6074,Brookmans Park,51.72148400,-0.20642854
6812,Broxbourne,51.74683900,-0.01066968
6958,Bruce Grove,51.59370900,-0.07005086
531,Buckhurst Hill,51.62594600,0.04681417
3176,Burnham,51.52328100,-0.64656778
532,Burnt Oak,51.60280800,-0.26401769
6913,Bush Hill Park,51.64178100,-0.06944113
1395,Bushey,51.64564900,-0.38519475
534,Caledonian Road,51.54847900,-0.11836521
1439,Caledonian Road & Barnsbury,51.54341800,-0.11511281
6962,Cambridge Heath,51.53224400,-0.05748371
1440,Camden Road,51.54193700,-0.13950246
535,Camden Town,51.53942400,-0.14269086
788,Canada Water,51.49792700,-0.04983770
842,Canary Wharf DLR,51.50510600,-0.02098567
6560,Canary Wharf EL,51.50607100,-0.01763821
852,Canary Wharf LU,51.50350100,-0.01863444
884,Canning Town,51.51398700,0.00829637
536,Cannon Street LU,51.51138200,-0.09036498
5142,Cannon Street NR,51.51066600,-0.09061107
1441,Canonbury,51.54852000,-0.09306513
537,Canons Park,51.60800600,-0.29473930
1442,Carpenders Park,51.62791200,-0.38550674
5405,Carshalton,51.36857900,-0.16637786
5406,Carshalton Beeches,51.35719500,-0.16934595
3098,Castle Bar Park,51.52282900,-0.33145169
5351,Caterham,51.28220400,-0.07839047
5077,Catford,51.44446500,-0.02615570
5047,Catford Bridge,51.44458800,-0.02492719
9488,Centrale,51.37586500,-0.10378350
6874,Chadwell Heath,51.56791600,0.12820235
7447,Chafford Hundred,51.48560000,0.28746357
539,Chalfont & Latimer,51.66806700,-0.56097590
540,Chalk Farm,51.54411800,-0.15347473
541,Chancery Lane,51.51810500,-0.11236728
718,Charing Cross LU,51.50797000,-0.12638961
5143,Charing Cross NR,51.50774500,-0.12410761
5144,Charlton,51.48684500,0.03141741
5352,Cheam,51.35566200,-0.21451937
5098,Chelsfield,51.35660900,0.10832488
543,Chesham,51.70533800,-0.61102566
6814,Cheshunt,51.70270200,-0.02386593
5582,Chessington North,51.36398600,-0.30072984
5554,Chessington South,51.35674600,-0.30809286
544,Chigwell,51.61764100,0.07572152
6914,Chingford,51.63242000,0.00931856
5353,Chipstead,51.30935400,-0.16937095
5099,Chislehurst,51.40516000,0.05786037
5583,Chiswick,51.48114900,-0.26818031
545,Chiswick Park,51.49456100,-0.26787374
546,Chorleywood,51.65416600,-0.51830823
9460,Church Street,51.37366000,-0.10423381
5121,City Thameslink,51.51533600,-0.10353141
547,Clapham Common,51.46207600,-0.13735368
5301,Clapham High Street,51.46548500,-0.13231989
5595,Clapham Junction,51.46446000,-0.17051283
548,Clapham North,51.46512300,-0.12991600
549,Clapham South,51.45276900,-0.14760609
6926,Clapton,51.56165700,-0.05680763
5048,Clock House,51.40868000,-0.04042293
550,Cockfosters,51.65136400,-0.14851248
551,Colindale,51.59540500,-0.24993432
552,Colliers Wood,51.41827100,-0.17786595
3019,Cookham,51.55743600,-0.72211442
9464,Coombe Lane,51.35981600,-0.06007626
5408,Coulsdon South,51.31580200,-0.13796045
5382,Coulsdon Town,51.32201100,-0.13482425
553,Covent Garden,51.51308900,-0.12427720
5100,Crayford,51.44819900,0.17837100
6007,Crews Hill,51.68475100,-0.10725210
1519,Cricklewood,51.55862600,-0.21233798
5078,Crofton Park,51.45520800,-0.03663172
854,Crossharbour,51.49590400,-0.01444021
7406,Crouch Hill,51.57156100,-0.11660410
554,Croxley,51.64758200,-0.44107809
5356,Crystal Palace,51.41766300,-0.07126229
6008,Cuffley,51.70914300,-0.10979473
887,Custom House DLR,51.50962900,0.02590251
6561,Custom House EL,51.50962900,0.02590251
879,Cutty Sark,51.48177500,-0.01069004
893,Cyprus,51.50842500,0.06402349
7440,Dagenham Dock,51.52602700,0.14650368
555,Dagenham East,51.54401500,0.16494548
556,Dagenham Heathway,51.54155500,0.14563360
1443,Dalston Junction,51.54528400,-0.07497069
1429,Dalston Kingsland,51.54819300,-0.07633349
5101,Dartford,51.44741600,0.21912057
557,Debden,51.64528000,0.08358939
3052,Denham,51.57900000,-0.49800000
3060,Denham Golf Club,51.58100000,-0.51800000
5421,Denmark Hill,51.46804300,-0.08959785
5145,Deptford,51.47897800,-0.02663895
897,Deptford Bridge,51.47416800,-0.02239699
867,Devons Road,51.52223700,-0.01727351
558,Dollis Hill,51.55196200,-0.23902424
3099,Drayton Green,51.51643400,-0.33014320
6000,Drayton Park,51.55310500,-0.10576908
9468,Dundonald Road,51.41772600,-0.20780192
560,Ealing Broadway,51.51498200,-0.30040612
561,Ealing Common,51.50971400,-0.28816576
