mnlc_o,mnlc_d,tb_o,vol
500,501,2,0.8693075
500,501,3,1.8618884
500,501,4,0.8945834
500,501,5,0.71944714
500,501,7,0.203484
500,503,2,0.53685075
500,503,3,9.91897
500,503,4,5.6017547
500,503,5,3.3791668
500,503,6,0.2897347
500,504,2,1.1789621
500,504,5,0.15582135
500,505,2,4.176067
500,505,3,21.2849
500,505,4,46.043835
500,505,5,49.6822
500,505,6,11.853377
500,505,7,7.128184
500,506,2,2.4361358e-05
500,506,3,0.00020377125
500,506,4,0.3746247
500,506,5,0.36444947
500,506,6,0.027647316
500,506,7,0.00024409486
500,507,2,0.6865368
500,507,3,6.3119826
500,507,4,7.7000766
500,507,5,4.9172215
500,507,6,0.46799365
500,507,7,0.11368101
500,508,2,0.4918364
500,508,3,1.0535603
500,508,4,0.77111727
500,508,5,0.8765011
500,508,6,0.33257297
500,509,2,0.21420735
500,509,3,1.8818678
500,509,4,2.8438084
500,509,5,3.071678
500,509,6,0.49894506
500,509,7,0.4073363
500,510,2,0.33482647
500,510,4,1.426824
500,510,5,2.8807247
500,510,6,0.25069335
500,510,7,0.13422552
500,511,2,3.7514334
500,511,3,14.387612
500,511,4,9.691825
500,511,5,4.0443907
500,511,6,0.6444346
500,511,7,0.8822625
500,512,3,0.113974616
500,512,4,1.1322509
500,512,5,3.7955153
500,512,6,0.88446105
500,512,7,0.13392
500,513,2,8.483233
500,513,3,32.58669
500,513,4,8.090096
500,513,5,4.411873
500,513,6,0.5802026
500,513,7,0.14095561
500,514,2,0.4725012
500,514,3,0.85820276
500,514,4,3.2493033
500,514,5,4.1054626
500,514,6,1.8798515
500,516,2,2.9200392
500,516,3,62.47923
500,516,4,24.900818
500,516,5,13.384138
500,516,6,5.6172976
500,516,7,1.7722678
500,517,2,1.3660167
500,517,3,5.1257973
500,517,4,4.610792
500,517,5,2.1868794
500,517,6,1.6257722
500,518,4,1.259175
500,518,6,0.11865643
500,518,7,0.20059037
500,519,2,0.106552586
500,519,3,0.28072482
500,519,4,1.1191536
500,519,5,0.2601424
500,519,7,0.3003867
500,520,2,0.40863678
500,520,3,1.8760761
500,520,4,1.4148345
500,520,5,1.5240344
500,520,6,0.81943035
500,521,2,5.1788883
500,521,3,24.307909
500,521,4,7.949385
500,521,5,5.8101993
500,521,6,0.81663346
500,521,7,0.42208266
500,522,3,0.27776092
500,522,4,2.705685
500,522,5,5.4329042
500,522,6,0.4920051
500,522,7,1.4888364
500,524,2,2.9197674
500,524,3,17.937693
500,524,4,12.483318
500,524,5,3.5265415
500,524,6,0.38701287
500,524,7,0.20503697
500,525,3,1.6551906
500,525,4,0.33238715
500,525,6,0.10785053
500,526,2,0.5675859
500,526,3,13.310136
500,526,4,23.167397
500,526,5,18.754078
500,526,6,3.9000835
500,526,7,1.3106695
500,527,2,0.14719084
500,527,3,0.89589524
500,527,4,2.873751
500,527,5,4.3167233
500,527,6,0.7719534
500,527,7,0.31111172
500,528,4,1.5786695
500,528,5,1.4469197
500,528,6,0.8126936
500,528,7,0.11605543
500,529,4,0.51119804
500,529,5,0.53078985
500,529,6,0.12978011
500,530,3,0.75236994
500,530,4,0.35683337
500,530,5,1.1924059
500,530,6,0.13345875
500,532,2,0.01198125
500,532,3,0.1075007
500,532,4,0.38845146
500,532,5,0.3358555
500,532,6,0.25084326
500,533,2,0.065396085
500,533,3,0.6408736
500,533,4,1.2140598
500,533,5,0.90549606
500,534,2,0.21958914
500,534,3,2.2064078
500,534,4,2.7262483
500,534,5,1.8485112
500,534,6,1.5557462
500,534,7,0.11996811
500,535,2,0.4480164
500,535,3,4.050485
500,535,4,6.626482
500,535,5,2.2824085
500,535,6,0.93677795
500,535,7,0.121391386
500,536,2,2.0468774
500,536,3,12.498595
500,536,4,2.0274904
500,536,5,2.2517266
500,537,3,0.1711807
500,537,4,0.26068315
500,537,5,1.6578288
500,537,6,0.3319342
500,537,7,0.16525766
500,538,4,0.22018445
500,538,5,0.9929247
500,538,6,0.6823929
500,538,7,0.19384585
500,540,2,0.40008807
500,540,3,0.3787883
500,540,4,0.8986776
500,540,5,1.0797226
500,540,6,1.0510249
500,540,7,0.27594647
500,541,2,1.1067855
500,541,3,11.75341
500,541,4,2.781516
500,541,5,1.6662732
500,542,2,2.0488162
500,542,3,11.048117
500,542,4,14.032587
500,542,5,7.2129464
500,542,6,1.2035031
500,542,7,0.82193595
500,545,2,0.83029497
500,545,3,16.314125
500,545,4,20.254177
500,545,5,15.063725
500,545,6,3.1898386
500,545,7,0.9903145
500,547,2,0.9348321
500,547,3,2.1887786
500,547,4,1.7859938
500,547,5,1.1121736
500,547,7,0.14815632
500,548,2,0.45580554
500,548,3,0.65206677
500,548,4,1.4186889
500,548,5,1.8576664
500,548,6,0.1542793
500,548,7,0.41913003
500,549,2,0.09694195
500,549,3,0.8210003
500,549,4,1.9530674
500,549,5,1.716404
500,549,6,0.43875453
500,550,2,0.20449528
500,550,3,2.326112
500,550,4,0.8829865
500,550,5,1.2580585
500,550,6,0.82994443
500,550,7,0.1334676
500,551,2,0.12046501
500,551,3,1.7927649
500,551,4,0.8647989
500,551,5,1.135948
500,551,6,0.111315474
500,551,7,0.1411065
500,552,3,0.43229255
500,552,4,0.5231986
500,552,5,1.0190207
500,552,6,0.45576587
500,552,7,0.6234171
500,553,2,4.787304
500,553,3,32.441654
500,553,4,27.346643
500,553,5,18.199442
500,553,6,2.318955
500,554,2,0.123034455
500,554,3,0.09421102
500,554,4,0.9532305
500,554,5,0.72302735
500,554,6,0.10449632
500,554,7,0.00024831897
500,555,2,0.6086076
500,555,3,0.14809303
500,555,4,0.44076785
500,555,5,0.5093958
500,556,4,2.1193478
500,556,5,0.4796983
500,556,6,0.15199474
500,556,7,0.61010957
500,557,4,4.033064
500,557,5,0.13611469
500,557,6,0.28627506
500,559,3,0.24835789
500,559,5,0.722767
500,559,6,0.14255229
500,560,2,1.8118652
500,560,3,33.732426
500,560,4,95.04111
500,560,5,49.99621
500,560,6,11.9464035
500,560,7,1.5702672
500,561,2,2.0997465
500,561,3,5.9610634
500,561,4,14.427111
500,561,5,9.604866
500,561,6,4.7509885
500,561,7,1.9461085
500,562,2,9.787206
500,562,3,97.765205
500,562,4,51.662895
500,562,5,24.345968
500,562,6,7.6218266
500,562,7,2.9710395
500,563,3,0.15745975
500,563,4,2.7197628
500,563,5,1.0202706
500,563,6,0.576884
500,563,7,0.27522686
500,564,2,0.6416906
500,564,3,1.0233866
500,564,4,9.987288
500,564,5,14.858697
500,564,6,4.96822
500,564,7,1.9856585
500,565,2,0.08695699
500,565,3,0.5778626
500,565,4,1.2278938
500,565,5,0.7980077
500,565,6,1.4607807
500,566,2,0.95896435
500,566,3,0.3135511
500,566,4,1.888222
