lon,lat,avgPtai2015,ptalNumeric
-0.096276,51.519643,69.8233,8.0
-0.092408,51.519636,83.782,8.0
-0.095964,51.522089,41.7417,8.0
-0.073841,51.513031,85.8893,8.0
0.088094,51.539194,22.4558,6.0
0.077064,51.540656,33.3023,7.0
0.071087,51.540912,7.39059,3.0
0.083721,51.540328,38.3641,7.0
0.079832,51.536515,32.286,7.0
0.080469,51.542982,31.9167,7.0
0.073796,51.542958,16.2314,5.0
0.146884,51.5433,13.1449,4.0
0.143173,51.544293,7.46001,3.0
0.155149,51.543919,8.29508,3.0
0.151217,51.549463,5.11561,3.0
0.145998,51.54949,8.20281,3.0
0.151702,51.546632,7.37822,3.0
0.120774,51.558619,4.58686,2.0
0.124977,51.556361,6.75302,3.0
0.116013,51.554515,4.86539,2.0
0.121301,51.554095,6.39859,3.0
0.112432,51.551671,7.01491,3.0
0.120918,51.551058,7.43551,3.0
0.118094,51.54938,5.75121,3.0
0.136889,51.5877,3.85844,2.0
0.129478,51.585134,3.01489,2.0
0.134824,51.579955,2.5171,2.0
0.136759,51.583215,4.82101,2.0
0.139313,51.575774,4.07693,2.0
0.135392,51.574718,6.6856,3.0
0.162972,51.554989,3.91504,2.0
0.168571,51.555196,3.51145,2.0
0.164269,51.548643,6.7778,3.0
0.162304,51.545662,7.34586,3.0
0.180129,51.562692,2.32273,1.0
0.172661,51.563176,8.36135,3.0
0.180328,51.558813,1.99736,1.0
0.096922,51.536656,9.00812,3.0
0.116107,51.538019,5.72093,3.0
0.105774,51.537499,8.48745,3.0
0.098443,51.534116,7.26782,3.0
0.090998,51.535742,8.7118,3.0
0.112774,51.535077,7.08704,3.0
0.12004,51.536532,6.09177,3.0
0.083555,51.531603,8.13742,3.0
0.084952,51.530489,7.73561,3.0
0.085738,51.53477,23.446,6.0
0.082367,51.53406,13.4392,4.0
0.092626,51.532652,7.91239,3.0
0.1432,51.532748,5.84284,3.0
0.132346,51.536832,6.31438,3.0
0.126044,51.53576,7.7862,3.0
0.136606,51.534387,1.62771,1.0
0.126799,51.537907,9.98087,3.0
0.136002,51.539453,7.25869,3.0
0.141341,51.536485,5.43468,3.0
0.152578,51.557249,4.72838,2.0
0.152508,51.560718,7.36381,3.0
0.152194,51.553711,4.4875,2.0
0.145592,51.556314,7.42822,3.0
0.157483,51.553476,4.11487,2.0
0.143223,51.552495,5.82993,3.0
0.106262,51.546864,3.48363,2.0
0.101121,51.54699,5.81071,3.0
0.090466,51.541163,16.9529,5.0
0.099424,51.543193,8.91029,3.0
0.0937,51.543501,9.08794,3.0
0.099087,51.53992,8.50495,3.0
0.11455,51.541973,3.4708,2.0
0.116414,51.545653,3.68102,2.0
0.120523,51.545953,5.22423,3.0
0.125657,51.541671,9.06998,3.0
0.119894,51.541215,5.92267,3.0
0.12596,51.549576,7.48654,3.0
0.132517,51.552412,6.90947,3.0
0.141253,51.547072,5.87476,3.0
0.130727,51.548577,5.88791,3.0
0.138112,51.550143,4.9585,2.0
0.138196,51.554446,4.94285,2.0
0.128529,51.553699,7.38619,3.0
0.145766,51.539789,13.9159,4.0
0.150248,51.537904,13.5581,4.0
0.146247,51.536682,11.3246,4.0
0.151273,51.532797,7.1013,3.0
0.155344,51.533234,4.09005,2.0
0.160191,51.530599,3.14651,2.0
0.159232,51.528797,3.1872,2.0
0.109244,51.527636,4.69844,2.0
0.098124,51.526907,2.50159,2.0
0.101436,51.528925,4.76951,2.0
0.11562,51.52559,3.08911,2.0
0.128237,51.52962,3.88439,2.0
0.115259,51.533013,3.51993,2.0
0.129213,51.56373,14.5706,4.0
0.126912,51.56072,11.0563,4.0
0.132506,51.561458,9.59104,3.0
0.13894,51.559636,4.91511,2.0
0.144237,51.559268,8.70126,3.0
0.131485,51.556927,5.78336,3.0
0.166804,51.535993,3.04832,2.0
0.16606,51.539073,8.24809,3.0
0.153301,51.540662,8.9166,3.0
0.159159,51.540297,4.76699,2.0
0.17407,51.541348,2.67607,2.0
0.165191,51.542442,9.5896,3.0
0.141082,51.562687,4.30923,2.0
0.145657,51.573961,5.20468,3.0
0.145708,51.568585,5.31493,3.0
0.139218,51.570614,9.71421,3.0
0.13376,51.569806,14.5377,4.0
0.14855,51.564785,5.97464,3.0
-0.142104,51.636267,7.01025,3.0
-0.14649,51.633675,5.3088,3.0
-0.156579,51.632854,5.74797,3.0
-0.151535,51.631143,5.74361,3.0
-0.135058,51.630755,8.40527,3.0
-0.140049,51.632259,7.20748,3.0
-0.148603,51.627519,3.31441,2.0
-0.13813,51.626039,3.91162,2.0
-0.143364,51.621815,5.58762,3.0
-0.143094,51.618212,12.9099,4.0
-0.269173,51.604821,12.3823,4.0
-0.251477,51.600793,4.62348,2.0
-0.259318,51.605695,14.6656,4.0
-0.258726,51.601551,14.6214,4.0
-0.264998,51.600758,20.5564,6.0
-0.253808,51.604182,9.84947,3.0
-0.255293,51.598009,8.7169,3.0
-0.257437,51.609149,10.0333,4.0
-0.251763,51.607456,11.5425,4.0
-0.265636,51.607518,11.0418,4.0
-0.202104,51.568481,14.616,4.0
-0.192436,51.567604,11.6318,4.0
-0.200957,51.564514,11.4895,4.0
-0.205792,51.563945,10.2718,4.0
-0.201053,51.560108,10.1868,4.0
-0.196906,51.562369,14.5111,4.0
-0.213518,51.558385,17.3824,5.0
-0.211376,51.561982,12.9837,4.0
-0.209081,51.558132,13.9178,4.0
-0.199131,51.57435,24.4656,6.0
-0.204961,51.573067,12.0305,4.0
-0.197395,51.571103,30.0335,7.0
-0.249427,51.589755,4.9307,2.0
-0.254667,51.5926,11.2697,4.0
-0.244073,51.58624,5.09996,3.0
-0.244142,51.601471,4.13997,2.0
-0.245178,51.604682,3.94988,2.0
-0.248155,51.604767,5.49369,3.0
-0.244028,51.598759,9.27649,3.0
-0.248818,51.59743,12.0205,4.0
-0.148583,51.60008,8.16457,3.0
-0.144841,51.603053,4.75052,2.0
-0.15225,51.615983,6.74756,3.0
-0.156693,51.61887,4.51445,2.0
-0.146186,51.614252,7.35754,3.0
-0.154369,51.613517,9.4314,3.0
-0.158608,51.61184,10.2149,4.0
-0.145124,51.607092,3.79625,2.0
-0.14961,51.60419,7.30712,3.0
-0.150246,51.609782,8.8973,3.0
-0.159619,51.653301,5.24531,3.0
-0.166442,51.654096,1.79421,1.0
-0.155613,51.649117,6.79275,3.0
-0.164802,51.650392,6.72274,3.0
-0.165398,51.645714,8.01471,3.0
-0.169535,51.647899,11.3282,4.0
-0.152153,51.643881,3.48235,2.0
-0.158466,51.642166,3.15452,2.0
-0.165258,51.641743,9.69772,3.0
-0.162684,51.637679,5.88037,3.0
-0.178914,51.595831,3.71903,2.0
-0.172006,51.593043,5.02878,3.0
-0.164405,51.593291,4.0344,2.0
-0.176395,51.594718,3.10387,2.0
-0.170383,51.589869,8.57823,3.0
-0.163426,51.591148,14.1528,4.0
-0.162366,51.588557,14.5049,4.0
-0.176565,51.589919,2.92704,2.0
-0.170955,51.601106,1.93827,1.0
-0.17244,51.595831,2.90637,2.0
-0.27555,51.623473,7.95126,3.0
-0.272548,51.626475,4.09808,2.0
-0.279671,51.626444,0.980628,1.0
-0.288556,51.620651,1.91856,1.0
-0.284562,51.618907,4.04547,2.0
-0.279013,51.620267,10.5428,4.0
-0.273962,51.616232,21.4253,6.0
-0.27969,51.614573,20.0665,6.0
-0.273611,51.610364,16.0119,5.0
-0.268549,51.630342,1.50344,1.0
-0.196443,51.597749,15.3315,5.0
-0.187809,51.597764,9.2003,3.0
-0.214125,51.595826,3.23133,2.0
-0.207854,51.599456,4.50414,2.0
-0.203763,51.596168,6.86817,3.0
-0.204931,51.591547,6.11543,3.0
-0.196424,51.594335,7.46676,3.0
-0.192281,51.592411,5.04058,3.0
-0.200087,51.601916,11.4422,4.0
-0.189205,51.587296,4.21301,2.0
-0.177899,51.574344,2.80062,2.0
-0.183878,51.582928,3.89728,2.0
-0.170572,51.58585,10.2776,4.0
-0.194833,51.58381,5.37832,3.0
-0.181213,51.587832,3.92139,2.0
-0.198538,51.585506,8.35726,3.0
-0.193978,51.578293,7.74902,3.0
-0.178949,51.580694,3.38152,2.0
-0.189525,51.57271,16.6422,5.0
-0.208898,51.580401,12.7091,4.0
-0.200771,51.579139,8.80247,3.0
-0.202736,51.583548,6.08947,3.0
-0.205375,51.57781,14.0212,4.0
-0.212101,51.575902,18.7051,5.0
-0.207728,51.57563,13.651,4.0
-0.216686,51.572731,13.3496,4.0
-0.211804,51.568728,6.68951,3.0
-0.219628,51.567534,8.4522,3.0
-0.213005,51.565819,9.28636,3.0
-0.20579,51.585881,5.41549,3.0
-0.265731,51.610474,6.72681,3.0
-0.266594,51.614631,5.5744,3.0
-0.249606,51.626652,0.813966,1.0
-0.264994,51.624993,2.50364,2.0
-0.268825,51.623664,5.12524,3.0
-0.257749,51.6244,2.99059,2.0
-0.261285,51.6197,7.25079,3.0
-0.26064,51.61457,7.01215,3.0
-0.255461,51.615522,11.8742,4.0
-0.254177,51.611021,12.1799,4.0
-0.213639,51.584719,6.55226,3.0
-0.225023,51.585138,14.3658,4.0
-0.213628,51.588513,4.37487,2.0
-0.234379,51.591228,5.80517,3.0
-0.232109,51.598116,2.37931,1.0
-0.22536,51.594775,2.21401,1.0
-0.216249,51.592413,4.83334,2.0
-0.221163,51.590073,7.48625,3.0
-0.226118,51.590005,8.20936,3.0
-0.220603,51.587195,10.4143,4.0
-0.187061,51.653452,2.34873,1.0
-0.180417,51.654243,4.86619,2.0
-0.206705,51.655159,10.5315,4.0
-0.211879,51.656676,2.11587,1.0
-0.198434,51.654707,8.55294,3.0
-0.178578,51.650538,11.9501,4.0
-0.185154,51.649793,8.40912,3.0
-0.228868,51.649613,1.16655,1.0
-0.204867,51.659217,0.536905,1.0
-0.224843,51.610921,1.77553,1.0
-0.234744,51.608995,3.63009,2.0
-0.210442,51.608712,7.10116,3.0
-0.242262,51.614867,6.77941,3.0
-0.213944,51.60665,1.74679,1.0
-0.236068,51.605249,2.56492,2.0
-0.238272,51.620998,2.93094,2.0
-0.214511,51.612978,1.96018,1.0
-0.246662,51.621247,5.37449,3.0
-0.250646,51.618156,10.9522,4.0
-0.157187,51.624084,5.79479,3.0
-0.163906,51.623908,4.41078,2.0
-0.17261,51.641315,7.58199,3.0
-0.17914,51.647645,13.783,4.0
-0.183733,51.643151,10.0329,4.0
-0.175448,51.645217,10.4929,4.0
-0.177288,51.638576,9.08156,3.0
-0.167603,51.634555,7.15502,3.0
-0.171003,51.631563,12.1505,4.0
-0.160672,51.627815,6.76218,3.0
-0.186157,51.620595,7.42912,3.0
-0.194641,51.618236,2.91234,2.0
-0.18305,51.618298,10.138,4.0
-0.194546,51.614146,5.12517,3.0
-0.199164,51.632595,1.48978,1.0
-0.185459,51.631293,4.76207,2.0
-0.172639,51.628234,10.1968,4.0
-0.179524,51.628539,9.58732,3.0
-0.189151,51.624843,4.22068,2.0
-0.176885,51.62459,7.85811,3.0
-0.210152,51.645433,3.18573,2.0
-0.218814,51.647861,4.57522,2.0
-0.214708,51.644362,4.13223,2.0
-0.18895,51.644047,8.34093,3.0
-0.196405,51.644572,6.94427,3.0
-0.225039,51.645677,1.48016,1.0
-0.201571,51.64427,3.04293,2.0
-0.204138,51.649335,8.10976,3.0
-0.198721,51.649023,16.1789,5.0
-0.209683,51.650638,6.76124,3.0
-0.188343,51.601958,14.5725,4.0
-0.193031,51.604361,16.7983,5.0
-0.181184,51.599387,5.7428,3.0
-0.186539,51.604828,12.4266,4.0
-0.178124,51.613913,12.996,4.0
-0.183512,51.614584,11.1317,4.0
-0.188521,51.61118,11.159,4.0
-0.183034,51.610373,14.0582,4.0
-0.192886,51.608601,7.75464,3.0
-0.197485,51.605812,8.91359,3.0
-0.239337,51.575841,4.53612,2.0
-0.234717,51.578667,10.6458,4.0
-0.230924,51.57544,13.5832,4.0
-0.243088,51.579119,3.59251,2.0
-0.23463,51.584751,13.4253,4.0
-0.226054,51.579414,16.9418,5.0
-0.216667,51.581245,11.2528,4.0
-0.251228,51.581868,7.46376,3.0
-0.239994,51.579855,12.4284,4.0
-0.230369,51.581624,17.8886,5.0
-0.164827,51.609234,4.27959,2.0
-0.175659,51.604039,5.17573,3.0
-0.180584,51.607938,13.0089,4.0
-0.172073,51.609749,7.65489,3.0
-0.179342,51.60256,5.79505,3.0
-0.172252,51.619927,4.41757,2.0
-0.178085,51.619734,8.3204,3.0
-0.170237,51.616246,5.7123,3.0
-0.174068,51.613995,12.3449,4.0
-0.163703,51.61385,6.64776,3.0
0.163563,51.46224,8.32679,3.0
0.175088,51.463358,3.41403,2.0
0.155364,51.462668,13.2003,4.0
0.16528,51.456662,2.85065,2.0
0.156061,51.456321,8.2841,3.0
0.152235,51.459044,17.4417,5.0
0.162274,51.452777,3.10323,2.0
0.15082,51.485355,7.26014,3.0
0.145639,51.482002,4.65451,2.0
0.139592,51.482031,3.74277,2.0
0.153096,51.492981,4.47422,2.0
0.146096,51.49047,8.93537,3.0
0.143027,51.488026,4.86354,2.0
0.147651,51.48802,7.48566,3.0
0.085126,51.438911,4.67548,2.0
0.089319,51.452711,2.61588,2.0
0.094333,51.449224,3.27627,2.0
0.09113,51.445773,2.81472,2.0
0.099648,51.448197,4.57313,2.0
0.087324,51.442034,4.49253,2.0
0.094286,51.442307,4.67157,2.0
0.109942,51.445652,3.83546,2.0
0.106368,51.448123,4.94347,2.0
0.125984,51.445381,3.23538,2.0
0.134612,51.446785,4.25791,2.0
0.103558,51.444909,3.73397,2.0
0.117269,51.443777,3.14063,2.0
0.115215,51.449111,4.45,2.0
